"Answer_deepseek-r1","Answer_digital-umuganda-mt","Answer_gemini-pro2.5","Answer_google-translate","Answer_gpt-4o","Answer_gpt-o3-mini","Answer_sonnet-3.7"
"Kwiyandikisha nk'umufasha: Injira kuri Irembo -> Abafasha -> Application -> Uzuze fomu y'ubufasha ukurikiza amabwiriza","Irembo itanga urubuga rworoshye kumurongo aho ushobora kubona serivisi zitandukanye za leta, harimo na serivisi zirishya, udakeneye ubufasha bwumubiri. Sura gusa urubuga rwa irembo cyangwa porogaramu igendanwa kugirango ubone serivisi ukeneye.","Kugira ngo ube umu agent wa Irembo ugomba kubanza kubisaba. Gana ku rubuga rwa Irembo ushake amakuru ajyanye no kuba umu agent cyangwa uhamagare serivisi z'abakiriya babo bakuyobore ku bisabwa n'inzira zikurikizwa.","Serivisi za Irembo zitanga urubuga rworoshye rwo kugera kuri serivisi zitandukanye za leta kumurongo mu Rwanda. Urashobora kubona byoroshye no gukoresha izi serivisi ukoresheje urubuga rwa Irembo cyangwa porogaramu igendanwa, byorohereza abantu bo mu turere twa kure kubona serivisi zingenzi badakeneye ubufasha bwumubiri.","Ushobora gusaba guhabwa uburenganzira bwo gufasha abandi kubona serivisi za Irembo unyuze kuri serivisi za Irembo.","Wakoresha uburyo bwo kwiyandikisha ugahabwa konti yihariye, kandi ushobora kugisha inama serivisi zacu z'ikoranabuhanga kuri Irembo.","Ushobora gusaba kuba umufasha wa Irembo ukandikira kuri agents@irembo.rw. Tuzakoherereza amakuru ajyanye n'ibisabwa n'uburyo bwo kwiyandikisha."
"Tunganya ifoto yawe: 35x45mm, umweru, PDF/JPG. Koresha Irembo Photo Checker mbere yo gusubiza","Kuri irembo, turagutera inkunga yo gusaba ubufasha ku irembo kugirango wizere neza kandi neza serivisi. Ikipe yacu iri hano kugirango igufashe mubibazo byose cyangwa ubufasha ushobora gukenera mugihe cyo gusura.","Menya neza ko ifoto ushyiraho yujuje ibisabwa byose bijyanye n'ingano (size) na format. Irembo isobanura neza ibipimo by'ifoto yemewe ku rubuga rwayo. Gerageza kugabanya ubunini bwayo ukoresheje software cyangwa application ibikora.","Nkuko tubashishikarije gusaba serivisi kumarembo, nyamuneka menye neza ko ufite ibyangombwa byose nibisobanuro byateguwe mbere kugirango byihute. Byongeye kandi, wumve neza ko wegera itsinda ryacu ryunganira abakiriya niba uhuye nikibazo cyangwa ufite ikibazo mugihe cyo gusaba.","Ushobora kugabanya ingano y'ifoto cyangwa ukayihindura mu buryo bwemewe kugira ngo ibashe kwakirwa.","Reba amabwiriza yifoto isabwa kuri Irembo, ushyireho ifoto mu bipimo byemewe maze usabe kongera gutunganya ubusabe bwawe.","Ifoto yawe igomba kuba ifite ingano itarenze 2MB kandi iri mu buryo bwa JPG cyangwa PNG. Ushobora kuyigabanya ukoresheje porogaramu zo kugabanya amashusho mbere yo kongera kuyigerageza."
"Ibyo bisabwa mu gihe cyo gushyingira cyangwa gukemura ibibazo by'ubutaka. Reba kuri Irembo -> Legal -> Special Certificates","Mu rwanda, abantu bashobora gusaba icyemezo cy'ubusugi kugira ngo batangaze ku mugaragaro ko batarubatse cyangwa mu bumwe bw'abaturage. Ibisabwa ngo uzane icyemezo cy'uko ari ingaragu kivuye mu mudugudu bifasha mu kugenzura imiterere y'usaba no kureba ko amakuru yatanzwe ari ukuri.","Icyemezo cy'ubuseribateri gitangwa n'ubuyobozi bw'ibanze (Umudugudu/Akagari) kugira ngo cyemeze ko koko utarashaka. Irembo ifasha mu gusaba icyo cyemezo ariko kigomba kuba gishingiye ku makuru atangwa n'ubuyobozi bukwegereye.","Iyo umuntu asabye icyemezo cy&#39;ubuseribateri mu Rwanda, asabwa kuzana icyemezo mu mudugudu wabo kugira ngo agenzure uko abashakanye bahagaze. Iyi nyandiko yinyongera ifasha kwemeza ukuri nukuri kwamakuru yatanzwe mugikorwa cyo gusaba.","Icyemezo kerekana ko umuntu ari ingaragu gishobora gusabwa mu gihe cyo gushyingirwa cyangwa mu bindi bikorwa byihariye.","Icyo kibazo giterwa n'uburyo bwo kugenzura aho umuntu aturuka; nyamuneka saba ibisobanuro byimbitse kugira ngo wumve neza ibisabwa.","Icyemezo cy'umudugudu ni kimwe mu byangombwa ngombwa bisabwa kugira ngo hakorwe isuzuma ryuzuye mbere yo gutanga icyemezo cy'uko umuntu ari ingaragu."
"Pasiporo zishobora gutwara iminsi 5-7. Kanda kuri Irembo -> Passport Tracking -> Shyiramo application number","Niba pasiporo yawe itinze, birashobora gufata ibyumweru 2-4 kugirango igere. Ushobora kugenzura imiterere y'ubusabe bwa pasiporo yawe kurubuga rwa irembo kugirango ubone amakuru ku gihe cyo gutanga.","Igihe cyo kubona pasiporo gishobora gutandukana bitewe n'ubwoko bwa pasiporo wasabye n'umubare w'abandi basaba. Ushobora gukurikirana aho ubusabe bwawe bugeze kuri konti yawe ya Irembo cyangwa ukabaza ku biro by'abinjira n'abasohoka.","Igihe cyo gutunganya pasiporo mu Rwanda ni iminsi 10 y&#39;akazi. Niba pasiporo yawe ifata igihe kirenze ibi, urashobora kugenzura ninzego zibishinzwe kugirango ubaze uko ibyifuzo byawe bihagaze.","Pasiporo isanzwe itwara igihe gito mu gihe ibisabwa byose byubahirijwe, ariko igihe kirashobora kwiyongera bitewe n'impamvu zitandukanye.","Pasiporo isaba igihe gito kijyanye n'ubushobozi bwa sisitemu; ushobora kubaza serivisi zacu kugira ngo umenye igihe nyacyo bizatwara.","Pasiporo isanzwe itwara iminsi 5-7 y'akazi. Ariko igihe gishobora kuba kirekire bitewe n'umubare w'abasaba. Ushobora kugenzura aho ubusabe bwawe bugeze ku rubuga rwacu."
"Turahuza diplome: Injira kuri Irembo -> Education -> Diploma Verification -> Shyiramo ibisabwa byose","Yego, kuri irembo urashobora gusaba kwemeza impamyabumenyi yawe yamahanga kugirango yemerwe mu rwanda. Uzakenera gutanga ibyangombwa bikenewe kandi ukurikire inzira yagaragajwe kurubuga rwa irembo kugirango impamyabumenyi yawe isuzumwe kandi yemererwe gukoreshwa mu rwanda.","Yego, Irembo itanga serivisi yo gusaba icyemezo cy'ihwanya (equivalence) rya diplome zo mu mahanga. Injira kuri konti yawe ya Irembo, ushake iyo serivisi, hanyuma ukurikize amabwiriza yo gusaba, harimo no gutanga inyandiko zisabwa.","Nibyo, kuri Irembo urashobora gusaba kuringaniza dipolome yawe yamahanga kugirango yemeze mu Rwanda. Uzakenera gutanga ibyangombwa bikenewe hanyuma ukurikize inzira yo gusaba kugirango ubone uburinganire.","Ushobora gusaba guhabwa diplome ifite agaciro ko mu Rwanda unyuze kuri serivisi za Irembo.","Saba gahunda zacu zunganira aho usaba diplome, maze ubone ubufasha mu buryo bwemewe kandi bwihuse bwa Irembo.","Kugira ngo diplome yawe yo mu mahanga yemerwe mu Rwanda, ugomba gusaba icyemezo cy'iyemerwa mu Kigo cy'Igihugu Gishinzwe Uburezi (REB). Ushobora gutangira ukoresheje Irembo."
"Ibyemezo bisabwa mu gihe cyo gukora mutation, gushyingira, cyangwa gukemura ibibazo by'ubutaka. Reba kuri Irembo -> Legal Certificates","Kugirango ubone icyemezo cy'umushinjacyaha mu rwanda, ushobora kubisaba ukoresheje urubuga rwa irembo. Sura gusa urubuga rwa irembo cyangwa porogaramu igendanwa, hitamo serivisi bireba, wuzuze amakuru asabwa, hanyuma ukurikire amabwiriza yo kurangiza inzira yo gusaba.","Icyemezo cy'ubushinjacyaha gitangwa na RIB (Ikigo gishinzwe Ubufatanye n'Ukuri) kugira ngo cyemeze ko umuntu akiriho atakiriye inyandiko z'ubushinjacyaha. Ushobora gusaba icyo cyemezo kuri urubuga rwa Irembo cyangwa ukahamagara umurongo w'ubufasha wa RIB.","Kugira ngo umuntu abone icyemezo cy&#39;umushinjacyaha mu Rwanda, umuntu ku giti cye ashobora gusura ibiro by&#39;ubushinjacyaha bikwegereye cyangwa akabaza ikigo cy&#39;igihugu gishinzwe ubushinjacyaha (NPPA) kugira ngo akuyobore ku bisabwa byihariye n&#39;uburyo agomba gukurikiza. Ni ngombwa gutanga ibyangombwa byose bikenewe hamwe namakuru kugirango ashyigikire icyifuzo cyumushinjacyaha.","Ushobora gusaba icyemezo cy'ubushinjacyaha unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubushinjacyaha.","Nyamuneka saba icyemezo gishyashya cy’ubutaka mu biro byacu cyangwa ukoreshe serivisi zacu kuri Irembo zifasha kuvugurura inyandiko.","Ushobora gusaba icyemezo cy'ubushinjacyaha ukoresheje Irembo. Injira ku rubuga rwacu, ukore konti, uhitemo iyo serivisi, wuzuze amakuru asabwa, wishyure amafaranga asabwa, hanyuma utegereze icyemezo cyawe."
"Tumizera email ku legal@irembo.rw ugaragaza 'Birth Certificate Clarification' mu mutwe, uzuzemo kopi y'icyemezo","Birakomeye! Niba umaze kubona icyemezo cyawe cyamavuko, ugomba kuba witeguye inzira yo gusaba akazi muri rba. Witondere gutanga ibyangombwa bisabwa kandi ukurikize amabwiriza yinyongera atangwa numukoresha. Amahirwe masa kubisaba akazi!","Acte de naissance ni icyemezo cy'ubwana cyatanzwe n'ababyeyi cyangwa abazungu ba muntu wese. Irembo ifasha mu gusaba icyemezo cy'amavuko, ariko kigomba kuba gishingiye ku makuru atangwa n'ababyeyi cyangwa abazungu. Ushobora gukurikirana aho ubusabe bwawe bugeze kuri konti yawe ya Irembo cyangwa ukahamagara umurongo w'ubufasha wa Irembo ngo umenye aho bigeze.","Niba warabonye icyemezo cyamavuko, urashobora gukoresha serivise ya Irembo kugirango ubone icyemezo cyangwa usabe izindi kopi mugihe bikenewe kugirango usabe akazi muri RBA.","Ushobora gusaba icyemezo cy'amavuko gishya unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka.","Tegereza gato cyangwa uhamagare serivisi zacu kugira ngo utange ikibazo cyawe ku bijyanye no kwishyura neza.","Acte de naissance n'icyemezo cy'amavuko ni ibintu bibiri bitandukanye. Ushobora gusaba icyemezo cy'amavuko gishya ukoresheje Irembo kugira ngo kibe cyujuje ibisabwa."
"Kanda kuri Irembo -> Permits -> Vehicle Registration -> Shyiramo ibisabwa byose","Niba ufite uruhushya rwo gutwara, urashobora gukoresha urubuga rwa interineti rwa irembo kugirango uvugurure cyangwa usimbuze, kimwe no kugenzura agaciro kayo no gukurikirana uko ubusabe bwawe bugeze mu rwanda.","Ushobora gusaba uruhushya rwo gutwara moto ukoresheje urubuga rwa Irembo cyangwa ukahamagara umurongo w'ubufasha wa RTRA (Ikigo gishinzwe Gutwara no Kuhagararira).","Niba ufite uruhushya rwo gutwara ibinyabiziga mu Rwanda, urashobora gukoresha serivisi ya Irembo kugirango uyivugurure kumurongo utiriwe usura ibiro byabiherewe uburenganzira. Sura gusa urubuga rwa Irembo cyangwa porogaramu igendanwa kugirango utangire inzira yo kuvugurura kandi ukurikize amabwiriza yatanzwe.","Ushobora gusaba uruhushya rwo gutwara moto unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka.","Nyamuneka saba icyemezo gishyashya cy’ubutaka mu biro byacu cyangwa ukoreshe serivisi zacu kuri Irembo zifasha kuvugurura inyandiko.","Ushobora gusaba uruhushya rwo gutwara moto ukoresheje Irembo. Uzakenera kwiyandikisha mu ishuri ryo gutwara ibinyabiziga, gutsinda ikizamini, no kwishyura amafaranga asabwa."
"Kanda kuri Irembo -> Land Services -> Subdivision -> Shyiramo ibisabwa byose","Kugirango ugabanye ikibanza cyawe mubice bibiri bitandukanye kugirango wubake amazu, uzakenera gutanga icyifuzo kubiro bya leta bireba cyangwa ibiro byubuyobozi bwubutaka. Bazakuyobora muburyo bwo kugabana ubutaka no kubona ibyemezo bikenewe kumushinga wawe.","Ushobora gusaba icyemezo cy'igihugu gishinzwe ubutaka kugira ngo cyemeze ko umutungo wawe utagabanywa. Injira kuri konti yawe ya Irembo, ushake serivisi yo gusaba icyemezo cy'igihugu gishinzwe ubutaka, hanyuma ukurikize amabwiriza yo gusaba, harimo no gutanga inyandiko zisabwa.","Urashobora gusaba serivisi zo kugabana ubutaka ukoresheje urubuga rwa interineti rwa Irembo. Kora konti gusa, wuzuze impapuro zikenewe, hanyuma utange ibyifuzo byawe kugirango ubyemeze. Iyi nzira izagufasha kugabana byemewe nubutaka bwawe muri Rusororo kubyo ugamije.","Ushobora gusaba icyemezo cyo kugabanya ikibanza unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka.","Saba amakuru y'aho icyangombwa kiri anyuze mu murongo w'ubufasha kuri Irembo, maze usuzume uko byagenze mu buryo bw'umwuga.","Kugira ngo ugabanye ikibanza, uzakenera gusaba uruhushya rwo kugabanya ubutaka. Uzakenera ibyangombwa by'ubutaka, igenamigambi ry'ahazubakwa, no kwishyura amafaranga asabwa."
"Kanda kuri Irembo -> Education -> Permit Application -> Shyiramo ibisabwa byose","Urakoze kurangiza amashuri yisumbuye! Urashobora gukoresha serivisi za irembo kugirango usabe gahunda zuburezi bwo hejuru, usabe inyandiko zamasomo, cyangwa ubone ubundi buryo bwuburezi kugirango ukomeze urugendo rwawe.","Ushobora gusaba perimi ukoresheje urubuga rwa Irembo cyangwa ukahamagara umurongo w'ubufasha wa RTRA (Ikigo gishinzwe Gutwara no Kuhagararira).","Twishimiye kurangiza amashuri yisumbuye! Niba ushaka guteza imbere amashuri yawe, urashobora gukoresha serivisi za Irembo kugirango usabe kwinjira muri kaminuza cyangwa ugere kubindi bikoresho byuburezi mu Rwanda.","Ushobora gusaba uruhushya rwo gutwara imodoka unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka.","Nyamuneka saba icyemezo gishyashya cy’ubutaka mu biro byacu cyangwa ukoreshe serivisi zacu kuri Irembo zifasha kuvugurura inyandiko.","Kugira ngo ubone perimi, ugomba kuba ufite nibura imyaka 18, kwiyandikisha mu ishuri ryo gutwara ibinyabiziga, gutsinda ibizamini byombi (inyandiko n'ibikorwa), no kwishyura amafaranga asabwa."
"Ibyemezo bisabwa mu gihe cyo gukora mutation, gushyingira, cyangwa gukemura ibibazo by'ubutaka. Reba kuri Irembo -> Legal Certificates","Icyemezo cy'imyitwarire myiza, cyemeza ko utari muri gereza, ubusanzwe kigira agaciro k'umwaka umwe mu rwanda. Kugirango ubone icyemezo gishya, urashobora kubisaba kumurongo ukoresheje urubuga rwa irembo cyangwa ugasura sitasiyo ya polisi iri hafi kugirango igufashe.","Icyemezo cy'uko tutafunzwe gishobora kuba gikenewe n'inzego zimwe na zimwe (nka kazi, ubwishingizi, n'ibindi) kugira ngo zemeze ko umuntu akiriho, cyane cyane mu bijyanye n'imicungire y'umutungo cyangwa ubwiteganyirize. Igihe cyo kwishyura icyemezo gishobora gutandukana bitewe n'inzego zikwegereye. Ushobora gukurikirana aho ubusabe bwawe bugeze kuri konti yawe ya Irembo cyangwa ukahamagara umurongo w'ubufasha wa Irembo ngo umenye aho bigeze.","Mu Rwanda, icyemezo cy&#39;inshinjabyaha cyakuwe mu biro by&#39;ubushinjacyaha gifite agaciro mu gihe cy&#39;amezi atandatu. Kugira ngo ubone icyemezo gishya, urashobora gusaba imwe ukoresheje serivisi za Irembo kumurongo cyangwa gusura ubushinjacyaha imbonankubone kugirango inyandiko ivuguruye.","Ushobora gusaba icyemezo gishya cy'uko tutafunzwe unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka.","Tegereza gato cyangwa uhamagare serivisi zacu kugira ngo utange ikibazo cyawe ku bijyanye no kwishyura neza.","Icyemezo cy'uko umuntu atafunzwe kimara amezi 6 gusa. Ushobora gusaba icyemezo gishya ukoresheje Irembo. Injira ku rubuga rwacu, uhitemo iyo serivisi, wuzuze amakuru asabwa, wishyure amafaranga asabwa."
"Kanda kuri Irembo -> ID Services -> Document Tracking -> Shyiramo numero y'irangamimerere -> Reba progress","Mbabarira kubyerekeye ikibazo cyawe. Kugirango ubone ibyemezo byinyongera, uzakenera kumenyekanisha ubujura kuri polisi hanyuma usabe gusimburwa ku biro bya leta bireba, nk'ubuyobozi bukuru bw'abinjira n'abasohoka mu rwanda. Menya neza gutanga ibyangombwa byose bikenewe kandi ukurikize inzira zisabwa.","Ushobora gusanga ibyangombwa byawe byose kuri konti yawe ya Irembo, cyangwa ukahamagara umurongo w'ubufasha wa Irembo kugira ngo bakurikirane ikibazo cyawe.","Mbabajwe no kumva ubujura bwinyandiko zawe. Kugirango ubone abasimbuza uruhushya rwo gutwara no kwerekana indangamuntu, ugomba kumenyesha abapolisi ubujura hanyuma ugasura inzego zibishinzwe nka polisi ishinzwe umutekano wo mu muhanda uruhushya rwo gutwara ibinyabiziga ndetse n’ikigo cy’igihugu gishinzwe kumenyekanisha indangamuntu kugirango usabe abasimbuye.","Ushobora gusaba ibyangombwa bishya unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka.","Nyamuneka saba icyemezo gishyashya cy’ubutaka mu biro byacu cyangwa ukoreshe serivisi zacu kuri Irembo zifasha kuvugurura inyandiko.","Ugomba kubanza gutanga raporo y'ubujura muri polisi. Nyuma ushobora gusaba ibyangombwa bishya ukoresheje Irembo. Uzakenera kwerekana kopi ya raporo y'ubujura n'inyemezabwishyu y'amafaranga asabwa."
